kegg	kegg_ncbi	lastmajorreleaseaccession	similarity	assemblystatus	g	lineage	status
SMOO	GCA_002865545.1	GCF_002865545.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SFZ	GCA_002813555.1	GCF_002813555.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SCOU	GCA_002237575.1	GCF_002237575.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SCLA	GCA_002163565.1	GCF_002163565.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SCK	GCA_001886855.1	GCF_001886855.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SHJ	GCA_001715535.1	GCF_001715535.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SCJ	GCA_001281045.1	GCF_001281045.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SKN	GCA_001274875.1	GCF_001274875.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SLL	GCA_001267155.1	GCF_001267155.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
STUR	GCA_001262715.1	GCF_001262715.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SERI	GCA_001029265.1	GCF_001029265.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SATR	GCA_001029245.1	GCF_001029245.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SSAB	GCA_000565215.1	GCF_000565215.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SMIA	GCA_000565195.1	GCF_000565195.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SCQ	GCA_000565175.1	GCF_000565175.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SMIR	GCA_000517365.1	GCF_000517365.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SAPI	GCA_000500935.1	GCF_000500935.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SDI	GCA_000439455.1	GCF_000439455.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
STAI	GCA_000439435.1	GCF_000439435.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SSYR	GCA_000400955.1	GCF_000400955.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SCR	GCA_000400935.1	GCF_000400935.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
MSYR	GCA_002843565.1	GCF_002843565.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Entomoplasmataceae; Mesoplasma	OK
MCOL	GCA_002804245.1	GCF_002804245.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Entomoplasmataceae; Mesoplasma	OK
MTAB	GCA_002804025.1	GCF_002804025.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Entomoplasmataceae; Mesoplasma	OK
MENT	GCA_002749675.1	GCF_002749675.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Entomoplasmataceae; Mesoplasma	OK
MLAC	GCA_002441935.1	GCF_002441935.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Entomoplasmataceae; Mesoplasma	OK
MCHC	GCA_002290085.1	GCF_002290085.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Entomoplasmataceae; Mesoplasma	OK
MFW	GCA_000479355.1	GCF_000479355.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Entomoplasmataceae; Mesoplasma	OK
MFL	GCF_000008305.1	GCF_000008305.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Entomoplasmataceae; Mesoplasma	OK
EFR	GCA_002804205.1	GCF_002804205.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Entomoplasmataceae; Entomoplasma	OK
EML	GCA_002804105.1	GCF_002804105.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Entomoplasmataceae; Entomoplasma	OK
ESX	GCA_002804005.1	GCF_002804005.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Entomoplasmataceae; Entomoplasma	OK
ELJ	GCA_002803985.1	GCF_002803985.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Entomoplasmataceae; Entomoplasma	OK
MBP	GCA_001712875.1	GCF_001712875.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Candidatus Phytoplasma; Candidatus Phytoplasma asteris	OK
AYW	GCA_000012225.1	GCF_000012225.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Candidatus Phytoplasma; Candidatus Phytoplasma asteris	OK
POY	GCA_000009845.1	GCF_000009845.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Candidatus Phytoplasma; Candidatus Phytoplasma asteris	OK
NZS	GCA_000397185.1	GCF_000397185.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Candidatus Phytoplasma; 16SrXII (Stolbur group)	OK
PAL	GCA_000069925.1	GCF_000069925.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Candidatus Phytoplasma; 16SrXII (Stolbur group)	OK
PML	GCA_000026205.1	GCF_000026205.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Candidatus Phytoplasma; 16SrX (Apple proliferation group)	OK
PZI	GCA_003640545.1	GCF_003640545.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Candidatus Phytoplasma; 16SrV (Elm yellows group)	OK
APAL	GCA_000968055.1	GCF_000968055.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	OK
ABRA	GCA_000967915.1	GCF_000967915.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	OK
AOC	GCA_000953195.1	GCF_000953195.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	OK
ACL	GCA_000018785.1	GCF_000018785.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	OK
MBJ	GCA_000755705.1	GCF_000755705.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Candidatus Izimaplasma; unclassified Candidatus Izimaplasma	OK
TLI	GCA_000233775.1	GCF_000233775.1	identical	Complete Genome	Synergistetes	Bacteria; Synergistetes; Synergistia; Synergistales; Synergistaceae; Thermovirga	OK
TAI	GCF_000024905.1	GCF_000024905.1	identical	Complete Genome	Synergistetes	Bacteria; Synergistetes; Synergistia; Synergistales; Synergistaceae; Thermanaerovibrio	OK
CPOR	GCA_001701045.1	GCF_001701045.1	identical	Complete Genome	Synergistetes	Bacteria; Synergistetes; Synergistia; Synergistales; Synergistaceae; Cloacibacillus	OK
ACO	GCA_000025885.1	GCF_000025885.1	identical	Complete Genome	Synergistetes	Bacteria; Synergistetes; Synergistia; Synergistales; Synergistaceae; Aminobacterium	OK
AMO	GCA_000266925.1	GCF_000266925.1	identical	Complete Genome	Synergistetes	Bacteria; Synergistetes; Synergistia; Synergistales; Synergistaceae; Acetomicrobium	OK
SALB	GCA_000359525.1	GCF_000359525.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; Streptomyces albidoflavus group	OK
SCO	GCF_000203835.1	GCF_000203835.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; Streptomyces albidoflavus group	OK
SRJ	GCA_008064995.1	GCF_008064995.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SGD	GCA_003994395.1	GCF_003994395.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SGE	GCA_003595235.1	GCF_003595235.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SKY	GCA_003428925.1	GCF_003428925.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SNZ	GCA_003074055.1	GCF_003074055.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SLK	GCA_003054555.1	GCF_003054555.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SDX	GCA_002946835.1	GCF_002946835.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SLX	GCA_002803845.1	GCF_002803845.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SMAL	GCA_002591335.1	GCF_002591335.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SFK	GCA_002556545.1	GCF_002556545.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SALJ	GCA_002192455.1	GCF_002192455.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SALF	GCA_002189675.2	GCF_002189675.2	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
STRO	GCA_002090335.1	GCF_002090335.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SGV	GCA_002082195.1	GCF_002082195.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SVU	GCA_002082175.1	GCF_002082175.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SNW	GCA_002009175.1	GCF_002009175.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SAUO	GCA_001983975.1	GCF_001983975.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SSIA	GCA_001975025.1	GCF_001975025.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SRN	GCA_001750785.1	GCF_001750785.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SPUN	GCA_001735805.1	GCF_001735805.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SLC	GCA_001729485.1	GCF_001729485.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SNR	GCA_001704275.1	GCF_001704275.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SCLF	GCA_001693675.1	GCF_001693675.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SLS	GCA_001685355.1	GCF_001685355.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SPAV	GCA_001660045.1	GCF_001660045.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
STRT	GCA_001654495.1	GCF_001654495.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
STSI	GCA_001611795.1	GCF_001611795.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SGS	GCA_001542625.2	GCF_001542625.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SRW	GCA_001511815.1	GCF_001511815.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
STRF	GCA_001484705.1	GCF_001484705.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SCX	GCA_001484565.1	GCF_001484565.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SCZ	GCA_001278095.1	GCF_001278095.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SPRI	GCA_001278075.1	GCF_001278075.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SAMB	GCA_001267885.1	GCF_001267885.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SLE	GCA_001013905.1	GCF_001013905.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
STRC	GCA_001011035.1	GCF_001011035.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SXI	GCA_000993785.3	GCF_000993785.3	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SALL	GCA_000963515.1	GCF_000963515.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SLD	GCA_000952035.2	GCF_000952035.2	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
SCW	GCA_000931445.1	GCF_000931445.1	identical	Complete Genome	Streptomycetales	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces	OK
